"lemma","poscode","surface"
"roof","3","roof"
"cellar","3","cellar"
"level","3","level","floor","story"
"roof top","3","roof top"
"house top","3","house top","housetop"
"basement","3","basement"
"garden","3","garden"
"yard","3","yard"
"court","3","court","courtyard"
"backyard","3","backyard"
"house","3","house"
"shop","3","shop"
"building","3","building"
